"Week Ending","Federal Provider Number","Provider Name","Provider Address","Provider City","Provider State","Provider Zip Code","Provider Phone Number","County","Submitted Data","Passed Quality Assurance Check","Residents Weekly Confirmed COVID-19","Residents Total Confirmed COVID-19","Residents Weekly All Deaths","Residents Total All Deaths","Residents Weekly COVID-19 Deaths","Residents Total COVID-19 Deaths","Number of All Beds","Total Number of Occupied Beds","Residents Hospitalizations with Confirmed COVID-19","Residents Hospitalizations with Confirmed COVID-19 and Up to Date with Vaccines","Staff Weekly Confirmed COVID-19","Staff Total Confirmed COVID-19","Weekly Resident Confirmed COVID-19 Cases Per 1,000 Residents","Weekly Resident COVID-19 Deaths Per 1,000 Residents","Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents","Number of Residents who are Up to Date on COVID-19 Vaccinations, 14 Days or More Before Positive Test","Number of Residents Staying in this Facility for At Least 1 Day This Week","Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week","Number of Residents Staying in this Facility for At Least 1 Day This Week Up to Date with COVID-19 Vaccines","Recent Percentage of Current Residents Up to Date with COVID-19 Vaccines","Percentage of Current Residents Up to Date with COVID-19 Vaccines","Number of Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week Up to Date with COVID-19 Vaccines","Recent Percentage of Current Healthcare Personnel Up to Date with COVID-19 Vaccines","Percentage of Current Healthcare Personnel Up to Date with COVID-19 Vaccines"
"08/02/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,45,0,6,0,5,57,50,0,0,0,36,0,0,900,100,,,,,,,,,
"08/09/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,45,0,6,0,5,57,50,0,0,1,37,0,0,900,100,,,,,,,,,
"08/16/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,45,0,6,0,5,57,53,0,0,1,38,0,0,849.06,94.34,,,,,,,,,
"08/23/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",2,47,0,6,0,5,57,55,0,0,1,39,36.36,0,854.55,90.91,,,,,,,,,
"08/30/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,47,0,6,0,5,57,55,0,0,0,39,0,0,854.55,90.91,,,,,,,,,
"09/06/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,47,0,6,0,5,57,55,0,0,0,39,0,0,854.55,90.91,,,,,,,,,
"09/13/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,47,0,6,0,5,57,54,0,0,0,39,0,0,870.37,92.59,,,,,,,,,
"09/20/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,47,0,6,0,5,57,54,0,0,1,40,0,0,870.37,92.59,,,,,,,,,
"09/27/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,47,0,6,0,5,57,54,0,0,0,40,0,0,870.37,92.59,,,,,,,,,
"10/04/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,47,0,6,0,5,57,52,0,0,1,41,0,0,903.85,96.15,,,,,,,,,
"10/11/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,47,0,6,0,5,57,51,0,0,0,41,0,0,921.57,98.04,,,,,,,,,
"10/18/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,47,0,6,0,5,57,52,0,0,0,41,0,0,903.85,96.15,,,,,,,,,
"10/25/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,47,0,6,0,5,57,52,0,0,0,41,0,0,903.85,96.15,,,,,,,,,
"11/01/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,47,0,6,0,5,57,53,0,0,0,41,0,0,886.79,94.34,,,,,,,,,
"11/08/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,47,0,6,0,5,57,53,0,0,1,42,0,0,886.79,94.34,,,,,,,,,
"11/15/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,47,0,6,0,5,57,51,0,0,1,43,0,0,921.57,98.04,,,,,,,,,
"11/22/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",1,48,0,6,0,5,57,52,0,0,1,44,19.23,0,923.08,96.15,,,,,,,,,
"11/29/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,6,0,5,57,53,0,0,1,45,0,0,905.66,94.34,,,,,,,,,
"12/06/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,6,0,5,57,51,0,0,0,45,0,0,941.18,98.04,,,,,,,,,
"12/13/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,6,0,5,57,52,0,0,0,45,0,0,923.08,96.15,,,,,,,,,
"12/20/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,6,0,5,57,54,0,0,0,45,0,0,888.89,92.59,,,,,,,,,
"12/27/20","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,6,0,5,57,53,0,0,0,45,0,0,905.66,94.34,,,,,,,,,
"01/03/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,6,0,5,57,55,0,0,0,45,0,0,872.73,90.91,,,,,,,,,
"01/10/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,6,0,5,57,54,0,0,0,45,0,0,888.89,92.59,,,,,,,,,
"01/17/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,6,0,5,57,54,0,0,0,45,0,0,888.89,92.59,,,,,,,,,
"01/24/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,6,0,5,57,48,0,0,1,46,0,0,1000,104.17,,,,,,,,,
"01/31/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,1,7,0,5,57,49,0,0,0,46,0,0,979.59,102.04,,,,,,,,,
"02/07/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,7,0,5,57,53,0,0,0,46,0,0,905.66,94.34,,,,,,,,,
"02/14/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,7,0,5,57,53,0,0,0,46,0,0,905.66,94.34,,,,,,,,,
"02/21/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,7,0,5,57,53,0,0,0,46,0,0,905.66,94.34,,,,,,,,,
"02/28/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,7,0,5,57,54,0,0,0,46,0,0,888.89,92.59,,,,,,,,,
"03/07/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,7,0,5,57,54,0,0,0,46,0,0,888.89,92.59,,,,,,,,,
"03/14/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,7,0,5,57,53,0,0,0,46,0,0,905.66,94.34,,,,,,,,,
"03/21/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,7,0,5,57,54,0,0,0,46,0,0,888.89,92.59,,,,,,,,,
"03/28/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,7,0,5,57,53,0,0,0,46,0,0,905.66,94.34,,,,,,,,,
"04/04/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,7,0,5,57,53,0,0,0,46,0,0,905.66,94.34,,,,,,,,,
"04/11/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,7,0,5,57,53,0,0,0,46,0,0,905.66,94.34,,,,,,,,,
"04/18/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,7,0,5,57,54,0,0,0,46,0,0,888.89,92.59,,,,,,,,,
"04/25/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,1,8,0,5,57,54,0,0,0,46,0,0,888.89,92.59,,,,,,,,,
"05/02/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,8,0,5,57,50,0,0,0,46,0,0,960,100,,,,,,,,,
"05/09/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,8,0,5,57,52,0,0,0,46,0,0,923.08,96.15,,,,,,,,,
"05/16/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,8,0,5,57,52,0,0,0,46,0,0,923.08,96.15,,,,,,,,,
"05/23/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,8,0,5,57,54,0,0,0,46,0,0,888.89,92.59,,,,,,,,,
"05/30/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,1,9,0,5,57,57,0,0,0,46,0,0,842.11,87.72,,57,78,,,0,,,0
"06/06/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,9,0,5,57,56,0,0,0,46,0,0,857.14,89.29,,54,87,,,0,,,0
"06/13/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,1,10,0,5,57,53,0,0,0,46,0,0,905.66,94.34,,54,87,,,0,,,0
"06/20/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,10,0,5,57,54,0,0,0,46,0,0,888.89,92.59,,54,87,,,0,,,0
"06/27/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,10,0,5,57,54,0,0,0,46,0,0,888.89,92.59,,54,87,,,0,,,0
"07/04/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,10,0,5,57,54,0,0,0,46,0,0,888.89,92.59,,54,87,,,0,,,0
"07/11/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,1,11,0,5,57,53,0,0,0,46,0,0,905.66,94.34,,54,87,,,0,,,0
"07/18/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,11,0,5,57,53,0,0,0,46,0,0,905.66,94.34,,54,87,,,0,,,0
"07/25/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,11,0,5,57,52,0,0,0,46,0,0,923.08,96.15,,53,87,,,0,,,0
"08/01/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,11,0,5,57,54,0,0,0,46,0,0,888.89,92.59,,53,87,,,0,,,0
"08/08/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,11,0,5,57,53,0,0,1,47,0,0,905.66,94.34,,53,87,,,0,,,0
"08/15/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,11,0,5,57,53,0,0,0,47,0,0,905.66,94.34,,54,87,,,0,,,0
"08/22/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,11,0,5,57,54,0,0,0,47,0,0,888.89,92.59,,54,87,,,0,,,0
"08/29/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,11,0,5,57,54,0,0,0,47,0,0,888.89,92.59,,54,87,,,0,,,0
"09/05/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,11,0,5,57,54,0,0,0,47,0,0,888.89,92.59,,54,87,,,0,,,0
"09/12/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,11,0,5,57,54,0,0,0,47,0,0,888.89,92.59,,54,87,,,0,,,0
"09/19/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,11,0,5,57,54,0,0,0,47,0,0,888.89,92.59,,54,88,,,0,,,0
"09/26/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,1,12,0,5,57,52,0,0,0,47,0,0,923.08,96.15,,54,88,,,0,,,0
"10/03/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,1,13,0,5,57,53,0,0,0,47,0,0,905.66,94.34,,54,88,,,0,,,0
"10/10/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,13,0,5,57,52,0,0,0,47,0,0,923.08,96.15,,54,88,,,0,,,0
"10/17/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,13,0,5,57,54,0,0,0,47,0,0,888.89,92.59,,54,88,,,0,,,0
"10/24/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,13,0,5,57,54,0,0,0,47,0,0,888.89,92.59,,54,88,,,0,,,0
"10/31/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,1,14,0,5,57,53,0,0,0,47,0,0,905.66,94.34,,53,88,,,0,,,0
"11/07/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,14,0,5,57,52,0,0,0,47,0,0,923.08,96.15,,52,88,,,0,,,0
"11/14/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,14,0,5,57,54,0,0,0,47,0,0,888.89,92.59,,54,88,,,0,,,0
"11/21/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,1,15,0,5,57,54,0,0,0,47,0,0,888.89,92.59,,54,88,,,0,,,0
"11/28/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,2,17,0,5,57,52,0,0,0,47,0,0,923.08,96.15,,52,88,,,0,,,0
"12/05/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,17,0,5,57,53,0,0,0,47,0,0,905.66,94.34,,52,86,,,0,,,0
"12/12/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,1,18,0,5,57,50,0,0,0,47,0,0,960,100,,50,86,,,0,,,0
"12/19/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,1,19,0,5,57,46,0,0,0,47,0,0,1043.48,108.7,,50,86,,,0,,,0
"12/26/21","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,1,20,0,5,57,46,0,0,0,47,0,0,1043.48,108.7,,46,86,,,0,,,0
"01/02/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,1,21,0,5,57,50,0,0,0,47,0,0,960,100,,50,86,,,0,,,0
"01/09/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,48,0,21,0,5,57,52,0,0,0,47,0,0,923.08,96.15,,50,86,,,0,,,0
"01/16/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",3,51,0,21,0,5,57,47,0,0,0,47,63.83,0,1085.11,106.38,,47,86,,,0,,,0
"01/23/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",3,54,0,21,0,5,57,47,0,0,5,52,63.83,0,1148.94,106.38,,50,86,,,0,,,0
"01/30/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,54,0,21,0,5,57,50,0,0,0,52,0,0,1080,100,,50,86,,,0,,,0
"02/06/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,54,1,22,0,5,57,50,0,0,1,53,0,0,1080,100,,52,86,,,0,,,0
"02/13/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,54,1,23,0,5,57,52,0,0,0,53,0,0,1038.46,96.15,,50,86,,,0,,,0
"02/20/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,54,0,23,0,5,57,54,0,0,0,53,0,0,1000,92.59,,52,86,,,0,,,0
"02/27/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,54,1,24,0,5,57,54,0,0,0,53,0,0,1000,92.59,,54,86,,,0,,,0
"03/06/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,54,1,25,0,5,57,54,0,0,0,53,0,0,1000,92.59,,52,86,,,0,,,0
"03/13/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,54,0,25,0,5,57,54,0,0,0,53,0,0,1000,92.59,,52,86,,,0,,,0
"03/20/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",1,55,0,25,0,5,57,52,0,0,0,53,19.23,0,1057.69,96.15,,50,86,,,0,,,0
"03/27/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,55,0,25,0,5,57,49,0,0,0,53,0,0,1122.45,102.04,,50,86,,,0,,,0
"04/03/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,55,1,26,0,5,57,49,0,0,0,53,0,0,1122.45,102.04,,50,86,,,0,,,0
"04/10/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",1,56,1,27,0,5,57,50,0,0,0,53,20,0,1120,100,,50,86,,,0,,,0
"04/17/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,56,2,29,0,5,57,50,0,0,0,53,0,0,1120,100,,50,86,,,0,,,0
"04/24/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,56,0,29,0,5,57,48,0,0,0,53,0,0,1166.67,104.17,,50,86,,,0,,,0
"05/01/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,56,0,29,0,5,57,47,0,0,0,53,0,0,1191.49,106.38,,48,86,,,0,,,0
"05/08/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,56,0,29,0,5,57,48,0,0,0,53,0,0,1166.67,104.17,,50,86,,,0,,,0
"05/15/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,56,0,29,0,5,57,49,0,0,0,53,0,0,1142.86,102.04,,49,86,,,0,,,0
"05/22/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,56,0,29,0,5,57,51,0,0,0,53,0,0,1098.04,98.04,,54,76,,,0,,,0
"05/29/22","015009","BURNS NURSING HOME, INC.","701 MONROE STREET NW","RUSSELLVILLE","AL","35653","2563324110","Franklin","Y","Y",0,56,0,29,0,5,57,56,0,0,0,53,0,0,1000,89.29,,54,76,,,0,,,0
